;idPedido;descTipoItem;descItem
177;18;queijo 2;queijo brie
178;19;bebida;refrigerante
179;19;borda;borda tradicional
180;19;ingrediente 1;cebola
181;19;ingrediente 2;calabresa
182;19;ingrediente 3;pimentão
183;19;ingrediente 4;tomate
184;19;ingrediente 5;orégano
185;19;massa;massa tradicional
186;19;queijo 1;mussarela
187;20;bebida;suco de maracujá
188;20;borda;catupiry
189;20;ingrediente 1;frango
190;20;ingrediente 2;bacon
191;20;ingrediente 3;pepperoni
192;20;ingrediente 4;calabresa
193;20;ingrediente 5;cebola
194;20;massa;massa fina
195;20;queijo 1;mussarela
196;20;queijo 2;parmesão
197;21;bebida;suco de laranja
198;21;borda;borda tradicional
199;21;ingrediente 1;alho
200;21;ingrediente 2;pepperoni
201;21;ingrediente 3;cogumelos
202;21;ingrediente 4;alho-poró
203;21;ingrediente 5;tomate seco
204;21;massa;massa fina
205;21;queijo 1;mussarela
206;21;queijo 2;provolone
207;22;bebida;vinho tinto
208;22;borda;catupiry
209;22;ingrediente 1;pepperoni
210;22;ingrediente 2;milho
211;22;ingrediente 3;tomate seco
212;22;ingrediente 4;azeitona
213;22;ingrediente 5;queijo cheddar
214;22;massa;massa fina
215;22;queijo 1;mussarela
216;22;queijo 2;parmesão
217;23;bebida;refrigerante
218;23;borda;borda tradicional
219;23;ingrediente 1;calabresa
220;23;ingrediente 2;orégano
221;23;ingrediente 3;pimenta calabresa
222;23;ingrediente 4;linguiça calabresa defumada
223;23;ingrediente 5;azeite de oliva
224;23;massa;massa grossa
225;23;queijo 1;mussarela
226;23;queijo 2;catupiry
227;24;bebida;refrigerante
228;24;borda;borda tradicional
229;24;ingrediente 1;tomate
230;24;ingrediente 2;pimentão
231;24;ingrediente 3;cogumelos
232;24;ingrediente 4;palmito
233;24;ingrediente 5;rúcula
234;24;massa;massa fina
235;24;queijo 1;mussarela
236;24;queijo 2;provolone
237;25;bebida;chá gelado
238;25;borda;cream cheese
239;25;ingrediente 1;calabresa
240;25;ingrediente 2;orégano
241;25;ingrediente 3;bacon
242;25;ingrediente 4;cebola
243;25;ingrediente 5;alho
244;25;massa;massa grossa
245;25;queijo 1;mussarela
246;25;queijo 2;queijo brie
247;26;bebida;vinho tinto
248;26;borda;borda tradicional
249;26;ingrediente 1;milho
250;26;ingrediente 2;bacon
251;26;ingrediente 5;pepperoni
252;26;massa;massa fina
253;26;queijo 1;parmesão
254;27;bebida;vinho tinto
255;27;borda;catupiry
256;27;ingrediente 1;camarão
257;27;ingrediente 2;pepperoni
258;27;ingrediente 3;tomate seco
259;27;ingrediente 4;orégano
260;27;ingrediente 5;cebola
261;27;massa;massa tradicional
262;27;queijo 1;parmesão
263;27;queijo 2;queijo brie
264;28;bebida;vinho tinto
265;28;borda;catupiry
266;28;ingrediente 1;pepperoni
267;28;ingrediente 2;tomate
268;28;ingrediente 3;alho
269;28;ingrediente 4;bacon
270;28;ingrediente 5;linguiça calabresa defumada
271;28;massa;massa tradicional
272;28;queijo 1;mussarela
273;28;queijo 2;provolone
274;29;bebida;refrigerante
275;29;borda;catupiry
276;29;ingrediente 1;pepperoni
277;29;ingrediente 2;calabresa
278;29;ingrediente 3;cebola
279;29;ingrediente 4;queijo cheddar
280;29;ingrediente 5;alho
281;29;massa;massa fina
282;29;queijo 1;mussarela
283;29;queijo 2;parmesão
284;30;bebida;chá gelado
285;30;borda;cream cheese
286;30;ingrediente 1;mel
287;30;ingrediente 2;cebola caramelizada
288;30;ingrediente 3;alho
289;30;ingrediente 4;linguiça calabresa defumada
290;30;ingrediente 5;pimenta calabresa
291;30;massa;massa tradicional
292;30;queijo 1;mussarela
293;30;queijo 2;gorgonzola
294;31;borda;borda tradicional
295;31;ingrediente 1;bacon
296;31;ingrediente 2;tomate
297;31;ingrediente 3;frango
298;31;ingrediente 4;berinjela
299;31;ingrediente 5;abobrinha
300;31;massa;massa tradicional
301;31;queijo 1;mussarela
302;32;bebida;refrigerante
303;32;borda;borda tradicional
304;32;ingrediente 1;queijo coalho grelhado
305;32;ingrediente 2;pepperoni
306;32;ingrediente 3;presunto
307;32;ingrediente 4;alho
308;32;ingrediente 5;orégano
309;32;massa;massa tradicional
310;32;queijo 1;mussarela
311;32;queijo 2;parmesão
312;33;bebida;cerveja
313;33;borda;borda tradicional
314;33;ingrediente 1;frango
315;33;ingrediente 2;azeitona
316;33;ingrediente 3;pimentão
317;33;ingrediente 4;bacon
318;33;ingrediente 5;cebola
319;33;massa;massa tradicional
320;33;queijo 1;mussarela
321;33;queijo 2;catupiry
322;34;bebida;suco de abacaxi
323;34;borda;catupiry
324;34;ingrediente 1;alcaparra
325;34;ingrediente 2;cogumelos
326;34;ingrediente 3;tomate
327;34;ingrediente 4;lentilha
328;34;ingrediente 5;palmito
329;34;massa;massa fina
330;34;queijo 1;mussarela
331;34;queijo 2;gorgonzola
332;35;bebida;cerveja
333;35;borda;borda tradicional
334;35;ingrediente 1;calabresa
335;35;ingrediente 2;pepperoni
336;35;massa;massa fina
337;35;queijo 1;mussarela
338;35;queijo 2;parmesão
339;36;bebida;refrigerante
340;36;borda;cream cheese
341;36;ingrediente 1;cebola
342;36;ingrediente 2;bacon
343;36;ingrediente 3;rúcula
344;36;ingrediente 4;orégano
345;36;ingrediente 5;calabresa
346;36;massa;massa fina
347;36;queijo 1;parmesão
348;36;queijo 2;mussarela
349;37;bebida;refrigerante
350;37;borda;catupiry
351;37;ingrediente 1;calabresa
352;37;ingrediente 2;presunto
353;37;ingrediente 3;tomate
354;37;ingrediente 4;alho
355;37;ingrediente 5;cebola
356;37;massa;massa tradicional
357;37;queijo 1;mussarela
358;37;queijo 2;cheddar
359;38;bebida;vinho tinto
360;38;borda;borda tradicional
361;38;ingrediente 1;cogumelos
362;38;ingrediente 2;carne seca
363;38;ingrediente 3;azeite de oliva
364;38;ingrediente 4;presunto
365;38;ingrediente 5;tomate seco
366;38;massa;massa tradicional
367;38;queijo 1;queijo brie
368;38;queijo 2;ricota
369;39;bebida;suco de uva
370;39;borda;catupiry
371;39;ingrediente 1;bacon
372;39;ingrediente 2;frango
373;39;ingrediente 3;carne seca
374;39;ingrediente 4;linguiça calabresa defumada
375;39;ingrediente 5;calabresa
376;39;massa;massa tradicional
377;39;queijo 1;catupiry
378;39;queijo 2;gorgonzola
379;40;bebida;cerveja
380;40;borda;catupiry
381;40;ingrediente 1;tomate
382;40;ingrediente 2;azeitona
383;40;ingrediente 3;presunto
384;40;ingrediente 4;bacon
385;40;ingrediente 5;linguiça calabresa defumada
386;40;massa;massa grossa
387;40;queijo 1;parmesão
388;40;queijo 2;mussarela
389;41;bebida;refrigerante
390;41;borda;borda tradicional
391;41;ingrediente 1;bacon
392;41;ingrediente 2;azeitona
393;41;ingrediente 3;orégano
394;41;ingrediente 4;pimenta calabresa
395;41;ingrediente 5;calabresa
396;41;massa;massa tradicional
397;41;queijo 1;mussarela
398;41;queijo 2;catupiry
399;42;bebida;refrigerante
400;42;borda;borda tradicional
401;42;ingrediente 1;bacon
402;42;ingrediente 2;ovo
403;42;ingrediente 3;tomate
404;42;ingrediente 4;milho
405;42;ingrediente 5;presunto
406;42;massa;massa tradicional
407;42;queijo 1;parmesão
408;42;queijo 2;mussarela
409;43;bebida;suco de laranja
410;43;borda;borda tradicional
411;43;ingrediente 1;calabresa
412;43;ingrediente 2;cebolinha
413;43;ingrediente 3;presunto
414;43;ingrediente 4;tomate
415;43;ingrediente 5;bacon
416;43;massa;massa tradicional
417;43;queijo 1;catupiry
418;43;queijo 2;mussarela
419;44;bebida;água com gás
420;44;borda;catupiry
421;44;ingrediente 1;calabresa
422;44;ingrediente 2;cebola
423;44;massa;massa fina
424;44;queijo 1;mussarela
425;45;bebida;suco de abacaxi
426;45;borda;cheddar
427;45;ingrediente 1;alho
428;45;ingrediente 2;cogumelos
429;45;ingrediente 3;pimentão
430;45;ingrediente 4;azeitona
431;45;ingrediente 5;pepperoni
432;45;massa;massa tradicional
433;45;queijo 1;gorgonzola
434;45;queijo 2;cheddar
435;46;bebida;refrigerante
436;46;borda;cream cheese
437;46;ingrediente 1;presunto
438;46;ingrediente 2;calabresa
439;46;ingrediente 3;frango
440;46;ingrediente 4;bacon
441;46;ingrediente 5;tomate
442;46;massa;massa tradicional
443;46;queijo 1;mussarela
444;46;queijo 2;cheddar
445;47;bebida;suco de laranja
446;47;borda;catupiry
447;47;ingrediente 1;bacon
448;47;ingrediente 2;alho
449;47;ingrediente 3;cogumelos
450;47;ingrediente 4;pimenta calabresa
451;47;ingrediente 5;queijo cheddar
452;47;massa;massa grossa
453;47;queijo 1;mussarela
454;47;queijo 2;queijo brie
455;48;bebida;cerveja
456;48;borda;catupiry
457;48;ingrediente 1;bacon
458;48;ingrediente 2;frango
459;48;ingrediente 3;calabresa
460;48;ingrediente 4;calabresa
461;48;ingrediente 5;tomate seco
462;48;massa;massa tradicional
463;48;queijo 1;provolone
464;48;queijo 2;gorgonzola
465;49;bebida;suco de laranja
466;49;borda;catupiry
467;49;ingrediente 1;frango
468;49;ingrediente 2;bacon
469;49;ingrediente 3;cebola caramelizada
470;49;ingrediente 4;pimenta calabresa
471;49;ingrediente 5;azeitona
472;49;massa;massa tradicional
473;49;queijo 1;mussarela
474;49;queijo 2;gorgonzola
475;50;bebida;vinho tinto
476;50;borda;borda tradicional
477;50;ingrediente 1;nozes
478;50;ingrediente 2;cebola
479;50;ingrediente 3;alho
480;50;ingrediente 4;amêndoas
481;50;massa;massa tradicional
482;50;queijo 1;mussarela
483;50;queijo 2;provolone
484;51;bebida;suco de abacaxi
485;51;borda;catupiry
486;51;ingrediente 1;presunto
487;51;ingrediente 2;carne seca
488;51;ingrediente 3;azeitona
489;51;ingrediente 4;palmito
490;51;ingrediente 5;bacon
491;51;massa;massa tradicional
492;51;queijo 1;mussarela
493;51;queijo 2;ricota
494;52;bebida;suco de laranja
495;52;borda;borda tradicional
496;52;ingrediente 1;tomate
497;52;ingrediente 2;bacon
498;52;ingrediente 3;frango
499;52;ingrediente 4;calabresa
500;52;ingrediente 5;ovo
501;52;massa;massa tradicional
502;52;queijo 1;parmesão
503;52;queijo 2;mussarela
504;53;bebida;refrigerante
505;53;borda;cream cheese
506;53;ingrediente 1;presunto
507;53;ingrediente 2;tomate
508;53;ingrediente 3;azeitona
509;53;ingrediente 4;bacon
510;53;ingrediente 5;amêndoas
511;53;massa;massa tradicional
512;53;queijo 1;mussarela
513;53;queijo 2;catupiry
514;54;bebida;refrigerante
515;54;borda;borda tradicional
516;54;ingrediente 1;pepperoni
517;54;ingrediente 2;tomate
518;54;ingrediente 3;rúcula
519;54;ingrediente 4;azeitona
520;54;ingrediente 5;queijo cheddar
521;54;massa;massa tradicional
522;54;queijo 1;mussarela
523;54;queijo 2;parmesão
524;55;bebida;vinho tinto
525;55;borda;borda tradicional
526;55;ingrediente 1;tomate
527;55;ingrediente 2;bacon
528;55;ingrediente 3;cebola
529;55;ingrediente 4;azeitona
530;55;ingrediente 5;azeite de oliva
531;55;massa;massa tradicional
532;55;queijo 1;mussarela
533;55;queijo 2;gorgonzola
534;56;bebida;refrigerante
535;56;borda;catupiry
536;56;ingrediente 1;queijo de cabra
537;56;ingrediente 2;pepperoni
538;56;ingrediente 3;orégano
539;56;ingrediente 4;pepperoni
540;56;ingrediente 5;queijo roquefort
541;56;massa;massa tradicional
542;56;queijo 1;gorgonzola
543;56;queijo 2;cheddar
544;57;bebida;suco de laranja
545;57;borda;borda tradicional
546;57;ingrediente 1;abacaxi
547;57;ingrediente 2;azeitona
548;57;ingrediente 3;presunto
549;57;ingrediente 4;tomate
550;57;ingrediente 5;frango
551;57;massa;massa tradicional
552;57;queijo 1;mussarela
553;57;queijo 2;catupiry
554;58;bebida;refrigerante
555;58;borda;catupiry
556;58;ingrediente 1;presunto
557;58;ingrediente 2;tomate
558;58;ingrediente 3;azeitona
559;58;ingrediente 4;orégano
560;58;ingrediente 5;alho
561;58;massa;massa tradicional
562;58;queijo 1;mussarela
563;58;queijo 2;catupiry
564;59;bebida;suco de abacaxi
565;59;borda;cheddar
566;59;ingrediente 1;cogumelos
567;59;ingrediente 2;azeitona
568;59;ingrediente 3;abacaxi
569;59;ingrediente 4;alho-poró
570;59;ingrediente 5;cebola caramelizada
571;59;massa;massa integral
572;59;queijo 1;queijo brie
573;59;queijo 2;parmesão
574;60;bebida;refrigerante
575;60;borda;borda tradicional
576;60;ingrediente 1;pepperoni
577;60;ingrediente 2;bacon
578;60;ingrediente 3;frango
579;60;ingrediente 4;linguiça calabresa defumada
580;60;massa;massa tradicional
581;60;queijo 1;mussarela
582;60;queijo 2;mussarela
583;61;bebida;água com gás
584;61;borda;borda tradicional
585;61;ingrediente 1;azeitona
586;61;ingrediente 2;tomate seco
587;61;ingrediente 3;cogumelos
588;61;ingrediente 4;presunto
589;61;ingrediente 5;bacon
590;61;massa;massa fina
591;61;queijo 1;mussarela
592;61;queijo 2;gorgonzola
593;62;bebida;cerveja
594;62;borda;cheddar
595;62;ingrediente 1;pimentão
596;62;ingrediente 2;tomate
597;62;ingrediente 3;calabresa
598;62;ingrediente 4;azeite de oliva
599;62;ingrediente 5;alho
600;62;massa;massa fina
601;62;queijo 1;parmesão
602;62;queijo 2;catupiry
603;63;bebida;cerveja
604;63;borda;catupiry
605;63;ingrediente 1;calabresa
606;63;ingrediente 2;queijo coalho grelhado
607;63;ingrediente 3;bacon
608;63;ingrediente 4;cebolinha
609;63;ingrediente 5;alho-poró
610;63;massa;massa fina
611;63;queijo 1;mussarela
612;63;queijo 2;provolone
613;64;bebida;refrigerante
614;64;borda;catupiry
615;64;ingrediente 1;azeitona
616;64;ingrediente 2;tomate seco
617;64;massa;massa tradicional
618;64;queijo 1;mussarela
619;64;queijo 2;queijo brie
620;65;bebida;vinho tinto
621;65;borda;catupiry
622;65;ingrediente 1;alho
623;65;ingrediente 2;cebola
624;65;ingrediente 3;tomate
625;65;ingrediente 4;bacon
626;65;ingrediente 5;mel
627;65;massa;massa tradicional
628;65;queijo 1;mussarela
629;65;queijo 2;queijo brie
630;66;bebida;refrigerante
631;66;borda;borda tradicional
632;66;ingrediente 1;pepperoni
633;66;ingrediente 2;tomate
634;66;ingrediente 3;atum
635;66;ingrediente 4;milho
636;66;ingrediente 5;frango
637;66;massa;massa tradicional
638;66;queijo 1;mussarela
639;66;queijo 2;parmesão
640;67;bebida;refrigerante
641;67;borda;borda tradicional
642;67;ingrediente 1;presunto
643;67;massa;massa tradicional
644;67;queijo 1;mussarela
645;68;bebida;cerveja
646;68;borda;catupiry
647;68;ingrediente 1;pepperoni
648;68;ingrediente 2;pimenta calabresa
649;68;ingrediente 3;rúcula
650;68;ingrediente 4;bacon
651;68;ingrediente 5;orégano
652;68;massa;massa fina
653;68;queijo 1;mussarela
654;68;queijo 2;parmesão
655;69;bebida;refrigerante
656;69;borda;borda tradicional
657;69;ingrediente 1;cebola
658;69;ingrediente 2;azeitona
659;69;ingrediente 3;orégano
660;69;ingrediente 4;tomate
661;69;ingrediente 5;bacon
662;69;massa;massa tradicional
663;69;queijo 1;mussarela
664;69;queijo 2;parmesão
665;70;bebida;suco de maracujá
666;70;borda;cheddar
667;70;ingrediente 1;azeitona
668;70;ingrediente 2;cebola
669;70;ingrediente 3;calabresa
670;70;ingrediente 4;alho-poró
671;70;ingrediente 5;orégano
672;70;massa;massa tradicional
673;70;queijo 1;mussarela
674;70;queijo 2;catupiry
675;71;bebida;suco de uva
676;71;borda;catupiry
677;71;ingrediente 1;bacon
678;71;ingrediente 2;palmito
679;71;ingrediente 3;rúcula
680;71;ingrediente 4;tomate seco
681;71;ingrediente 5;azeite de oliva
682;71;massa;massa tradicional
683;71;queijo 1;mussarela
684;71;queijo 2;gorgonzola
685;72;bebida;cerveja
686;72;borda;cheddar
687;72;ingrediente 1;brócolis
688;72;ingrediente 2;pimentão
689;72;ingrediente 3;salsinha
690;72;ingrediente 4;queijo roquefort
691;72;ingrediente 5;grão de bico
692;72;massa;massa tradicional
693;72;queijo 1;catupiry
694;72;queijo 2;gorgonzola
695;73;bebida;vinho tinto
696;73;borda;cheddar
697;73;ingrediente 1;cogumelos
698;73;ingrediente 2;cebola
699;73;ingrediente 3;alho
700;73;ingrediente 4;atum
701;73;ingrediente 5;azeite de oliva
702;73;massa;massa tradicional
703;73;queijo 1;mussarela
704;73;queijo 2;catupiry
705;74;bebida;refrigerante
706;74;borda;catupiry
707;74;ingrediente 1;azeitona
708;74;ingrediente 2;brócolis
709;74;ingrediente 3;frango
710;74;ingrediente 4;orégano
711;74;ingrediente 5;tomate seco
712;74;massa;massa fina
713;74;queijo 1;mussarela
714;74;queijo 2;cheddar
715;75;bebida;suco de maracujá
716;75;borda;catupiry
717;75;ingrediente 1;cebola
718;75;ingrediente 2;cogumelos
719;75;ingrediente 3;brócolis
720;75;ingrediente 4;tomate
721;75;ingrediente 5;azeite de oliva
722;75;massa;massa tradicional
723;75;queijo 1;gorgonzola
724;75;queijo 2;catupiry
725;76;bebida;suco de maracujá
726;76;borda;cream cheese
727;76;ingrediente 1;brócolis
728;76;ingrediente 2;frango
729;76;ingrediente 3;cebola
730;76;ingrediente 4;alho-poró
731;76;ingrediente 5;tomate
732;76;massa;massa tradicional
733;76;queijo 1;mussarela
734;76;queijo 2;parmesão
735;77;bebida;suco de laranja
736;77;borda;borda tradicional
737;77;ingrediente 1;cogumelos
738;77;ingrediente 2;brócolis
739;77;ingrediente 3;tomate seco
740;77;massa;massa fina
741;77;queijo 1;mussarela
742;77;queijo 2;ricota
743;78;bebida;chá gelado
744;78;borda;borda tradicional
745;78;ingrediente 1;pepperoni
746;78;ingrediente 2;cebola
747;78;ingrediente 3;cogumelos
748;78;massa;massa tradicional
749;78;queijo 1;mussarela
750;78;queijo 2;gorgonzola
751;79;bebida;refrigerante
752;79;borda;cheddar
753;79;ingrediente 1;cogumelos
754;79;ingrediente 2;cebola
755;79;ingrediente 3;calabresa
756;79;ingrediente 4;salsinha
757;79;ingrediente 5;palmito
758;79;massa;massa tradicional
759;79;queijo 1;mussarela
760;79;queijo 2;gorgonzola
761;80;bebida;refrigerante
762;80;borda;borda tradicional
763;80;ingrediente 1;azeitona
764;80;ingrediente 2;tomate
765;80;ingrediente 3;camarão
766;80;ingrediente 4;cebola
767;80;ingrediente 5;pepperoni
768;80;massa;massa fina
769;80;queijo 1;mussarela
770;80;queijo 2;parmesão
771;81;bebida;cerveja
772;81;borda;catupiry
773;81;ingrediente 1;cebola
774;81;ingrediente 2;milho
775;81;ingrediente 3;pepperoni
776;81;ingrediente 4;bacon
777;81;ingrediente 5;orégano
778;81;massa;massa fina
779;81;queijo 1;catupiry
780;81;queijo 2;mussarela
781;82;bebida;água com gás
782;82;borda;catupiry
783;82;ingrediente 1;bacon
784;82;ingrediente 2;atum
785;82;ingrediente 3;azeitona
786;82;ingrediente 4;palmito
787;82;ingrediente 5;alcaparra
788;82;massa;massa fina
789;82;queijo 1;catupiry
790;82;queijo 2;cheddar
791;83;bebida;cerveja
792;83;borda;catupiry
793;83;ingrediente 1;pepperoni
794;83;ingrediente 2;cogumelos
795;83;ingrediente 3;mel
796;83;ingrediente 4;alho
797;83;ingrediente 5;pimenta biquinho
798;83;massa;massa tradicional
799;83;queijo 1;mussarela
800;83;queijo 2;queijo brie
801;84;bebida;limonada
802;84;borda;cream cheese
803;84;ingrediente 1;alcaparra
804;84;ingrediente 2;cogumelos
805;84;ingrediente 3;cebola
806;84;ingrediente 4;brócolis
807;84;ingrediente 5;azeitona
808;84;massa;massa tradicional
809;84;queijo 1;parmesão
810;84;queijo 2;gorgonzola
811;85;bebida;cerveja
812;85;borda;borda tradicional
813;85;ingrediente 1;presunto
814;85;ingrediente 2;azeitona
815;85;ingrediente 3;cebola
816;85;ingrediente 4;calabresa
817;85;ingrediente 5;ovo
818;85;massa;massa fina
819;85;queijo 1;mussarela
820;85;queijo 2;cheddar
821;86;bebida;suco de laranja
822;86;borda;cream cheese
823;86;ingrediente 1;carne seca
824;86;ingrediente 2;cebola
825;86;ingrediente 3;tomate
826;86;ingrediente 4;brócolis
827;86;ingrediente 5;pimentão
828;86;massa;massa tradicional
829;86;queijo 1;parmesão
830;86;queijo 2;gorgonzola
831;87;bebida;refrigerante
832;87;borda;catupiry
833;87;ingrediente 1;cogumelos
834;87;ingrediente 2;palmito
835;87;ingrediente 3;brócolis
836;87;ingrediente 4;tomate seco
837;87;massa;massa tradicional
838;87;queijo 1;mussarela
839;87;queijo 2;parmesão
840;88;bebida;refrigerante
841;88;borda;cheddar
842;88;ingrediente 1;linguiça
843;88;ingrediente 2;cebola
844;88;ingrediente 3;presunto
845;88;ingrediente 4;pepperoni
846;88;ingrediente 5;pimentão
847;88;massa;massa grossa
848;88;queijo 1;mussarela
849;88;queijo 2;queijo coalho
850;89;bebida;chá gelado
851;89;borda;catupiry
852;89;ingrediente 1;cogumelos
853;89;ingrediente 2;alho
854;89;ingrediente 3;azeite de oliva
855;89;ingrediente 4;presunto
856;89;ingrediente 5;pimenta calabresa
857;89;massa;massa tradicional
858;89;queijo 1;mussarela
859;89;queijo 2;parmesão
860;90;bebida;vinho tinto
861;90;borda;cream cheese
862;90;ingrediente 1;alho
863;90;ingrediente 2;cebola
864;90;ingrediente 3;tomate
865;90;ingrediente 4;pepperoni
866;90;ingrediente 5;rúcula
867;90;massa;massa tradicional
868;90;queijo 1;mussarela
869;90;queijo 2;queijo coalho
870;91;bebida;suco de laranja
871;91;borda;catupiry
872;91;ingrediente 1;cebola
873;91;ingrediente 2;orégano
874;91;ingrediente 3;azeitona
875;91;ingrediente 4;calabresa
876;91;ingrediente 5;carne seca
877;91;massa;massa tradicional
878;91;queijo 1;mussarela
879;91;queijo 2;provolone
880;92;bebida;água com gás
881;92;borda;borda tradicional
882;92;ingrediente 1;pepperoni
883;92;ingrediente 2;cebola
884;92;ingrediente 3;azeite de oliva
885;92;massa;massa fina
886;92;queijo 1;mussarela
887;92;queijo 2;gorgonzola
888;93;bebida;suco de laranja
889;93;borda;borda tradicional
890;93;ingrediente 1;cogumelos
891;93;ingrediente 2;nozes
892;93;ingrediente 3;alho-poró
893;93;ingrediente 4;alho
894;93;ingrediente 5;mel
895;93;massa;massa tradicional
896;93;queijo 1;queijo brie
